VARIABLES = "Z" "T" "N2" "S-CH2" "T-CH2" "O" "H2" "H" "OH" "H2O" "O2" "HO2" "CH" "CO" "HCO" "CH2O" "CH3" "CO2" "CH4" "C2H3" "C2H4" "C2H5" "C2H" "HCCO" "C2H2" "C3H3" "A-C3H5" "N-C3H7" "C2H6" "P-C3H4" "A-C3H4" "A1" "A1-" "C5H5" "C3H6" "C4H8" "C5H6" "A2" "C5H10" "C5H11" "A1C2H2" "A1CH2" "A1CHO" "A1CH3" "C7H15" "N-C7H16" "A1C2H*" "A2-" "A1C2H"
0.154115 1834.43 0.74168 5.16E-07 7.42E-06 0.00139665 0.00111148 0.000291889 0.00338655 0.0735704 0.0183378 3.04E-06 3.42E-06 0.0482544 8.41E-06 3.05E-05 2.02E-05 0.111592 1.91E-05 9.99E-07 1.08E-05 1.34E-08 1.27E-06 1.45E-05 0.000247047 5.00E-06 1.43E-07 6.16E-11 1.88E-08 1.63E-06 1.16E-06 1.09E-06 1.69E-07 6.19E-08 2.88E-07 6.79E-18 1.54E-07 4.49E-07 2.05E-16 2.51E-20 1.71E-11 4.60E-09 1.41E-08 3.11E-08 5.09E-20 2.56E-17 2.68E-08 2.51E-09 4.20E-07
0.157205 1843.42 0.74117 7.33E-07 1.07E-05 0.00118708 0.00122309 0.000288958 0.00316679 0.0743158 0.0163024 2.95E-06 4.91E-06 0.0504067 1.10E-05 4.22E-05 3.17E-05 0.11136 2.83E-05 1.62E-06 1.84E-05 2.24E-08 1.89E-06 2.01E-05 0.000386615 8.76E-06 2.53E-07 1.10E-10 4.04E-08 2.68E-06 1.87E-06 1.69E-06 2.65E-07 7.97E-08 5.44E-07 3.34E-17 2.11E-07 4.74E-07 7.82E-16 1.10E-19 2.14E-11 9.00E-09 2.01E-08 5.64E-08 2.93E-19 1.58E-16 3.47E-08 2.68E-09 5.54E-07
0.16018 1850.53 0.740679 9.76E-07 1.45E-05 0.000990651 0.00133695 0.000283094 0.00292697 0.0749547 0.0145491 2.87E-06 6.53E-06 0.0523787 1.35E-05 5.53E-05 4.72E-05 0.111055 4.05E-05 2.51E-06 3.00E-05 3.60E-08 2.63E-06 2.62E-05 0.000575479 1.44E-05 4.36E-07 1.91E-10 8.16E-08 4.19E-06 2.90E-06 2.52E-06 3.98E-07 9.88E-08 9.93E-07 1.54E-16 2.80E-07 5.02E-07 2.90E-15 4.75E-19 2.66E-11 1.67E-08 2.78E-08 9.77E-08 1.53E-18 8.83E-16 4.40E-08 2.85E-09 7.21E-07
0.163142 1855.91 0.74019 1.23E-06 1.86E-05 0.000807496 0.00145493 0.000274307 0.00266849 0.0755107 0.0130058 2.81E-06 8.16E-06 0.0542047 1.58E-05 6.92E-05 6.76E-05 0.110686 5.68E-05 3.75E-06 4.76E-05 5.67E-08 3.48E-06 3.24E-05 0.000827107 2.26E-05 7.38E-07 3.22E-10 1.59E-07 6.34E-06 4.35E-06 3.68E-06 5.81E-07 1.19E-07 1.78E-06 6.90E-16 3.65E-07 5.35E-07 1.08E-14 2.09E-18 3.34E-11 3.00E-08 3.71E-08 1.65E-07 7.52E-18 4.70E-15 5.51E-08 3.01E-09 9.35E-07
0.166109 1859.46 0.739701 1.47E-06 2.28E-05 0.000642324 0.00157587 0.000262745 0.00239886 0.0759871 0.0116568 2.73E-06 9.57E-06 0.0558638 1.75E-05 8.31E-05 9.34E-05 0.110267 7.82E-05 5.43E-06 7.37E-05 8.72E-08 4.38E-06 3.82E-05 0.00115062 3.40E-05 1.23E-06 5.32E-10 2.99E-07 9.33E-06 6.35E-06 5.28E-06 8.25E-07 1.41E-07 3.13E-06 3.03E-15 4.65E-07 5.73E-07 4.05E-14 9.18E-18 4.23E-11 5.21E-08 4.81E-08 2.71E-07 3.54E-17 2.40E-14 6.79E-08 3.17E-09 1.21E-06
0.168927 1861.06 0.739236 1.67E-06 2.65E-05 0.000506101 0.00169144 0.000249535 0.00214154 0.0763661 0.0105489 2.66E-06 1.05E-05 0.0572598 1.84E-05 9.52E-05 0.000122862 0.109837 0.000104225 7.46E-06 0.000109174 1.28E-07 5.20E-06 4.26E-05 0.0015273 4.81E-05 1.96E-06 8.38E-10 5.29E-07 1.31E-05 8.87E-06 7.28E-06 1.12E-06 1.61E-07 5.25E-06 1.23E-14 5.74E-07 6.14E-07 1.43E-13 3.76E-17 5.34E-11 8.50E-08 5.98E-08 4.24E-07 1.50E-16 1.11E-13 8.16E-08 3.32E-09 1.53E-06
0.171364 1861.07 0.738833 1.79E-06 2.92E-05 0.000405644 0.0017907 0.000236683 0.00192385 0.0766388 0.00971637 2.59E-06 1.09E-05 0.0583178 1.87E-05 0.000104153 0.000151792 0.109449 0.000131786 9.59E-06 0.00015059 1.76E-07 5.84E-06 4.55E-05 0.00190667 6.29E-05 2.90E-06 1.22E-09 8.45E-07 1.73E-05 1.16E-05 9.46E-06 1.42E-06 1.79E-07 8.07E-06 4.14E-14 6.79E-07 6.53E-07 4.32E-13 1.29E-16 6.57E-11 1.26E-07 7.03E-08 6.10E-07 5.21E-16 4.14E-13 9.44E-08 3.45E-09 1.88E-06
0.173388 1860.13 0.738499 1.86E-06 3.10E-05 0.000334405 0.00187188 0.000225237 0.00174965 0.0768281 0.00910687 2.53E-06 1.10E-05 0.0590898 1.85E-05 0.000110234 0.000177875 0.10912 0.000158586 1.16E-05 0.000194153 2.25E-07 6.28E-06 4.69E-05 0.00225664 7.69E-05 3.95E-06 1.64E-09 1.23E-06 2.14E-05 1.44E-05 1.16E-05 1.71E-06 1.95E-07 1.14E-05 1.13E-13 7.73E-07 6.89E-07 1.08E-12 3.55E-16 7.83E-11 1.72E-07 7.92E-08 8.12E-07 1.44E-15 1.22E-12 1.06E-07 3.56E-09 2.21E-06
0.175127 1858.68 0.738212 1.89E-06 3.21E-05 0.000281536 0.00194045 0.000214975 0.00160603 0.0769653 0.00863721 2.47E-06 1.08E-05 0.0596781 1.80E-05 0.000114393 0.000201504 0.108834 0.000184662 1.35E-05 0.000239313 2.75E-07 6.59E-06 4.75E-05 0.00258052 9.01E-05 5.11E-06 2.09E-09 1.66E-06 2.55E-05 1.71E-05 1.38E-05 1.98E-06 2.08E-07 1.51E-05 2.63E-13 8.56E-07 7.22E-07 2.34E-12 8.36E-16 9.10E-11 2.20E-07 8.66E-08 1.03E-06 3.39E-15 3.03E-12 1.16E-07 3.66E-09 2.53E-06
0.17669 1856.89 0.737954 1.90E-06 3.28E-05 0.000240201 0.00200091 0.000205515 0.00148259 0.0770694 0.00825474 2.43E-06 1.05E-05 0.0601493 1.75E-05 0.000117267 0.000223459 0.108577 0.000210595 1.54E-05 0.000286705 3.28E-07 6.79E-06 4.76E-05 0.0028876 0.000102704 6.39E-06 2.57E-09 2.17E-06 2.96E-05 1.99E-05 1.59E-05 2.24E-06 2.20E-07 1.94E-05 5.51E-13 9.34E-07 7.53E-07 4.64E-12 1.77E-15 1.04E-10 2.72E-07 9.30E-08 1.26E-06 7.12E-15 6.70E-12 1.25E-07 3.74E-09 2.85E-06
